notebook,stage,condition,region_annotation,cell_count,percent_of_final_annotated
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Ciliated Epidermal Progenitor,173,1.6035
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Goblet Cells,140,1.2976
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Midgut Primordium,133,1.2327
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Ventral Blood Island,91,0.8435
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,L/R Organizer Mesoderm,90,0.8342
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Ionocyte,59,0.5469
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.0,WT,Pre-chordal Plate Mesoderm,58,0.5376
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Goblet Cell,946,10.705
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Neural Plate 2,919,10.3995
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Ventral Mesoderm,708,8.0118
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Posterior Paraxial Mesoderm,563,6.3709
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Eye Primordium,459,5.1941
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Anterior Neural Ridge,435,4.9225
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Anterior Paraxial Mesoderm,364,4.119
